심근증	NNG
심장사상충증	NNG
동맥관	NNG
개존증	NNG
폐동맥	NNG
협착증	NNG
심실	NNG
심방	NNG
중격	NNG
결손증	NNG
부정맥	NNG
빈혈	NNG
혈소판	NNG
감소증	NNG
바베시아증	NNG
비염	NNG
부비강염	NNG
인두염	NNG
연구개	NNG
과장증	NNG
기관허탈	NNG
기관지염	NNG
폐렴	NNG
폐수종	NNG
기흉	NNG
횡격막	NNG
헤르니아	NNG
흉막염	NNG
거대	NNG
식도증	NNG
식도	NNG
이물	NNG
급성	NNG
위염	NNG
만성	NNG
위염	NNG
위확장	NNG
위염전	NNG
출혈성	NNG
위장염	NNG
대장염	NNG
흡수불량증후군	NNG
장폐색	NNG
급성	NNG
간염	NNG
췌염	NNG
췌외분비부전	NNG
항문낭염	NNG
항문주위염	NNG
항문주위루	NNG
회음	NNG
헤르니아	NNG
소화기	NNG
종양	NNG
급성	NNG
신부전	NNG
만성	NNG
신부전	NNG
요독증	NNG
사구체신염	NNG
네프로제	NNG
증후군	NNG
신장증	NNG
신우신염	NNG
방광염	NNG
요로결석증	NNG
간질	NNG
전정장애	NNG
수두증	NNG
저혈당증	NNG
안면신경마비	NNG
추간판	NNG
헤르니아	NNG
뇌	NNG
외상	NNG
변형성	NNG
척추증	NNG
부신피질	NNG
쿠싱증후군	NNG
부신피질	NNG
기능저하증	NNG
애디슨병	NNG
당뇨병	NNG
갑상선	NNG
요붕증	NNG
상피소체	NNG
기능항진증	NNG
저하증	NNG
골절	NNG
탈구	NNG
슬개골	NNG
탈구	NNG
구루병	NNG
골연화증	NNG
레그	NNG
페르테스병	NNG
전십자인대	NNG
파열	NNG
관절염	NNG
류머티스성	NNG
관절염	NNG
뼈	NNG
종양	NNG
광견병	NNG
홍역	NNG
디스템퍼	NNG
파보바이러스	NNG
감염증	NNG
전염성	NNG
간염	NNG
켄넬코프	NNG
코로나바이러스	NNG
개	NNG
헤르페스바이러스	NNG
렙토스피라	NNG
브루셀라증	NNG
파상풍	NNG
회충증	NNG
구충증	NNG
편충증	NNG
조충증	NNG
콕시듐	NNG
편모충증	NNG
아토피성	NNG
피부염	NNG
벼룩알레르기성	NNG
피부염	NNG
음식물	NNG
알레르기	NNG
접촉성	NNG
피부염	NNG
지루증	NNG
농피증	NNG
모낭충증	NNG
개선충증	NNG
피부사상균증	NNG
마라세티아	NNG
염증	NNG
자기면역	NNG
피부병	NNG
내분비성	NNG
피부	NNG
종양	NNG
안검내반	NNG
외반	NNG
속눈썹	NNG
이상	NNG
유루증	NNG
체리아이	NNG
결막염	NNG
각막염	NNG
포도막염	NNG
백내장	NNG
녹내장	NNG
망막박리	NNG
안구	NNG
탈출	NNG
이혈종	NNG
외이염	NNG
중이염	NNG
내이염	NNG
치주	NNG
질환	NNG
치근첨주위농양	NNG
애나멜질	NNG
형성부전	NNG
구내염	NNG
구강	NNG
종양	NNG
자궁축농증	NNG
질탈	NNG
난소	NNG
종양	NNG
유선염	NNG
유선	NNG
종양	NNG
정유정소	NNG
정소	NNG
종양	NNG
전립선	NNG
비대	NNG
전립선염	NNG
전립선	NNG
농양	NNG
전립선	NNG
농포	NNG
제삼안검선	NNG
진피	NNG
경증	NNG
격통	NNG
자견	NNG
마라세티아	NNG
내반	NNG
화농	NNG
성견	NNG
우둘투둘	NNG
수유기	NNG
발정	NNG
옴벌레	NNG
외이도	NNG
거뭇	NNG
다뇨	NNG
유루증	NNG
정소	NNG
혈농	NNG
외이	NNG
외이염	NNG
안질환	NNG
노견	NNG
첩모	NNG
첩모중생	NNG
첩모난생	NNG
정유정소	NNG
이소성	NNG
첩모	NNG
감염원	NNG
멍울	NNG
케토애시도시스	NNG
애나멜질	NNG
적갈색	NNG
몸길이	NNG
연골육종	NNG
골육종	NNG
망막박리	NNG
안저출혈	NNG
외반	NNG
내반	NNG
중성화	NNG
미니어처	NNG
스파니엘	NNG
포메	NNG
핀셔	NNG
코카	NNG
요크셔테리어	NNG
카발리아	NNG
테리어	NNG
찰스스파니엘	NNG
러셀테리어	NNG
이물	NNG
승모판	NNG
승모판폐쇄부전	NNG
폐쇄부전	NNG
중성화 수술	NNG